metric_id,category,metric_name,program_scope,geographic_grain,cadence,preferred_measure,source_product_or_table,history,priority,crosswalk_path,source_status,cutoff_rule,known_limitations
population_total,demographic,Total population,core_census_acs,block_or_block_group_to_fixed_precinct,decennial_or_acs5,additive count,Decennial P0010001 and ACS B01003,1990 2000 2010 2020 plus ACS5 2009-2024,P0,accepted_population_crosswalk,proven_poc016,use latest eligible product under explicit mapping,Fixed 2021 precinct geography and modeled historical allocation
population_vap,demographic,Voting-age population,core_census_acs,block_or_block_group_to_fixed_precinct,decennial_or_acs5,additive age 18 plus count,Decennial redistricting voting-age tables and ACS B01001,product-specific inventory required,P0,reuse_person_crosswalk,source_table_inventory_pending,use exact source release available before election cutoff,Age bins and decennial table identifiers vary by vintage
population_cvap,demographic,Citizen voting-age population,core_census_acs,block_group_to_fixed_precinct,acs5,additive count and CVAP divided by VAP,CVAP special tabulation,ACS5 2005-2009 onward,P0,reuse_person_crosswalk,source_family_verified_inventory_pending,use exact CVAP release date,Survey estimate with MOE and subgroup allocation error
age_distribution,demographic,Age composition,core_census_acs,block_group_to_fixed_precinct,acs5,counts and shares for 18-29 30-44 45-64 and 65 plus,ACS B01001,ACS5 product-specific availability to verify,P0,reuse_person_crosswalk,source_table_inventory_pending,use exact product release date,Derive shares after allocation and preserve MOEs
race_ethnicity,demographic,Race and Hispanic or Latino composition,core_census_acs,block_or_block_group_to_fixed_precinct,decennial_or_acs5,mutually exclusive additive counts and shares,Decennial redistricting tables ACS B03002 and CVAP special tabulation,product-specific inventory required,P0,reuse_person_crosswalk,source_table_inventory_pending,use exact product release date,Race categories and multiple-race treatment changed across decades
sex_composition,demographic,Sex composition,core_census_acs,block_group_to_fixed_precinct,acs5,additive counts and shares,ACS B01001,ACS5 product-specific availability to verify,P2,reuse_person_crosswalk,source_table_inventory_pending,use exact product release date,Published categories and question wording require vintage review
household_family,demographic,Household and family composition,core_census_acs,block_group_to_fixed_precinct,acs5,household counts by type children and living alone,ACS B11001 and related B11 tables,ACS5 product-specific availability to verify,P2,requires_household_support,source_table_inventory_pending,use exact product release date,Population weights are not household weights
marital_status,demographic,Marital status,core_census_acs,block_group_to_fixed_precinct,acs5,additive counts and shares among age 15 plus,ACS B12001,ACS5 product-specific availability to verify,P2,reuse_person_crosswalk,source_table_inventory_pending,use exact product release date,Different universe from total population
education_attainment,education,Educational attainment,core_census_acs,block_group_to_fixed_precinct,acs5,counts and shares below high school high school some college and bachelors plus among age 25 plus,ACS B15003,ACS5 product-specific availability to verify,P0,reuse_person_crosswalk,source_table_inventory_pending,use exact product release date,Different universe from total population and correlated bands
school_enrollment,education,School and college enrollment,core_census_acs,block_group_to_fixed_precinct,acs5,additive enrollment counts by level,ACS B14001 and related B14 tables,ACS5 product-specific availability to verify,P2,reuse_person_crosswalk,source_table_inventory_pending,use exact product release date,Age and enrollment categories must be harmonized across vintages
foreign_born_citizenship,immigration,Foreign-born naturalized and noncitizen population,core_census_acs,block_group_to_fixed_precinct,acs5,additive counts and shares,ACS B05001 and B05003,ACS5 product-specific availability to verify,P0,reuse_person_crosswalk,source_family_verified_inventory_pending,use exact product release date,Noncitizen is not undocumented and legal status is unavailable
recent_arrival,immigration,Recent foreign-born arrival,core_census_acs,block_group_to_fixed_precinct,acs5,counts and shares by period of entry,ACS B05005 and B05007,ACS5 product-specific availability to verify,P1,reuse_person_crosswalk,source_family_verified_inventory_pending,use exact product release date,Entry-period bands change as tables roll forward
origin_composition,immigration,Foreign-born region or country of birth,core_census_acs,block_group_or_tract_to_fixed_precinct,acs5,additive broad-region counts,ACS B05006,ACS5 product-specific geography restrictions to verify,P2,reuse_person_crosswalk_or_new_tract_crosswalk,source_family_verified_inventory_pending,use exact product release date,Detailed tables may be restricted or sparse at block-group level
language_english,immigration,Language and English proficiency,core_census_acs,block_group_to_fixed_precinct,acs5,counts by broad language and English ability,ACS B16001 and B16005,ACS5 product-specific availability to verify,P1,reuse_person_crosswalk,source_family_verified_inventory_pending,use exact product release date,Universe is age 5 plus and detailed groups change across vintages
ancestry,immigration,Reported ancestry composition,core_census_acs,block_group_or_tract_to_fixed_precinct,acs5,additive broad ancestry counts,ACS B04006,ACS5 product-specific geography restrictions to verify,P2,reuse_person_crosswalk_or_new_tract_crosswalk,source_table_inventory_pending,use exact product release date,Multiple responses make categories nonexclusive
local_mobility,migration,Residence one year ago and local mobility,core_census_acs,block_group_to_fixed_precinct,acs5,nonmover same-county different-county different-state and abroad counts,ACS B07001 and related B07 tables,ACS5 product-specific availability to verify,P1,reuse_person_crosswalk,source_family_verified_inventory_pending,use exact product release date,Period estimate and detailed origin-destination flows are coarser
county_migration_flows,migration,County-to-county and county-MCD migration flows,census_bureau_supplement,county_or_mcd,acs5,inflow outflow and net mover estimates,ACS five-year migration flow files,2006-2010 through 2016-2020 county flows with later products differing,P2,repeat_county_or_mcd_value,source_family_verified_inventory_pending,use exact flow-file release date,Suppression and changing flow products limit continuity
county_migration_components,migration,County net domestic and international migration,census_bureau_supplement,county,annual,net counts rates and one-year change,Population Estimates Program components of change,annual vintages since each decennial with archived earlier vintages,P1,repeat_county_value,source_family_verified_inventory_pending,use vintage released before cutoff and retain vintage identity,Each new vintage revises the full post-decennial series
local_employment,economy,Employment status,core_census_acs,block_group_to_fixed_precinct,acs5,employment-population ratio unemployment rate and labor-force participation from additive counts,ACS B23025,block-group publication from 2007-2011 onward,P0,reuse_person_crosswalk,source_family_verified_inventory_pending,use exact product release date,Five-year structural estimate rather than a current-cycle labor shock
employment_context_acs,economy,County Pennsylvania and national employment context,core_census_acs,county_state_and_nation,acs5,direct B23025 rates and changes between eligible products,ACS B23025 direct published geographies,product-specific availability to verify,P1,direct_published_context,source_table_inventory_pending,use only products released before cutoff,Five-year overlap makes adjacent-release changes highly correlated and unsuitable as monthly shocks
occupation_industry,economy,Occupation and industry composition,core_census_acs,block_group_or_tract_to_fixed_precinct,acs5,employed-person counts in stable broad groups,ACS C24010 C24030 and related detailed tables,product-specific availability and category bridge required,P2,reuse_person_crosswalk_or_new_tract_crosswalk,source_table_inventory_pending,use exact product release date,NAICS SOC and table categories change over time
commuting,economy,Commuting mode and travel time,core_census_acs,block_group_to_fixed_precinct,acs5,worker counts by mode work from home and time band,ACS B08301 B08303 and related B08 tables,ACS5 product-specific availability to verify,P2,reuse_worker_or_person_crosswalk,source_table_inventory_pending,use exact product release date,Worker universe differs from resident population and pandemic periods are discontinuous
poverty,economy,Poverty composition,core_census_acs,block_group_to_fixed_precinct,acs5,additive counts by poverty ratio and derived shares,ACS B17001 or C17002,ACS5 product-specific availability to verify,P0,reuse_person_crosswalk,source_table_inventory_pending,use exact product release date,Income reference period and universe differ from election-day conditions
income_distribution,economy,Household income distribution,core_census_acs,block_group_to_fixed_precinct,acs5,household counts by income band and derived inflation-adjusted median,ACS B19001 with B19013 as comparison,ACS5 product-specific availability to verify,P0,requires_household_support,source_table_inventory_pending,use exact product release date,Allocate bands not medians; bins and dollar year require harmonization
income_growth_acs,economy,Income and earnings change,core_census_acs,block_group_county_state_and_nation,acs5,change in inflation-adjusted aggregate or band-derived income between eligible products,ACS B19001 B19025 B19301 and B20001 families,product-specific availability to verify,P1,requires_household_or_person_support,source_table_inventory_pending,both products and their price-year metadata must precede cutoff,Overlapping five-year windows are not independent annual growth and medians are nonadditive
snap_receipt,economy,SNAP receipt,core_census_acs,block_group_to_fixed_precinct,acs5,household counts receiving and not receiving SNAP,ACS B22003,ACS5 product-specific availability to verify,P2,requires_household_support,source_table_inventory_pending,use exact product release date,Program rules and household universe differ over time
housing_units_occupancy,housing,Housing units occupancy and vacancy,core_census_acs,block_group_to_fixed_precinct,decennial_or_acs5,additive housing-unit counts,Decennial housing tables and ACS B25001 B25002,product-specific inventory required,P1,requires_housing_support,source_table_inventory_pending,use exact product release date,Housing support crosswalk is not yet proven
housing_tenure,housing,Homeownership and renter composition,core_census_acs,block_group_to_fixed_precinct,acs5,owner and renter household counts and shares,ACS B25003,ACS5 product-specific availability to verify,P0,requires_housing_support,source_table_inventory_pending,use exact product release date,Population support is not housing-unit support
housing_cost_burden,housing,Housing cost burden,core_census_acs,block_group_to_fixed_precinct,acs5,household counts by rent or owner-cost burden band,ACS B25070 and B25091,ACS5 product-specific availability to verify,P1,requires_housing_support,source_table_inventory_pending,use exact product release date,Allocate counts not medians or precomputed percentages
rent_distribution,housing,Gross rent distribution,core_census_acs,block_group_to_fixed_precinct,acs5,renter-household counts by rent band and derived median,ACS B25063 with B25064 as comparison,ACS5 product-specific availability to verify,P2,requires_housing_support,source_table_inventory_pending,use exact product release date,Nominal dollar bands require harmonization and inflation adjustment
home_value_distribution,housing,Owner-occupied home value distribution,core_census_acs,block_group_to_fixed_precinct,acs5,owner-household counts by value band and derived median,ACS B25075 with B25077 as comparison,ACS5 product-specific availability to verify,P2,requires_housing_support,source_table_inventory_pending,use exact product release date,Nominal dollar bands and housing-universe support require harmonization
heating_fuel,housing,House heating fuel composition,core_census_acs,block_group_to_fixed_precinct,acs5,occupied-unit counts by fuel,ACS B25040,ACS5 product-specific availability to verify,P2,requires_housing_support,source_table_inventory_pending,use exact product release date,Measures exposure to energy types not prices or energy-cost inflation
vehicle_access,housing,Vehicle availability,core_census_acs,block_group_to_fixed_precinct,acs5,household counts by vehicles available,ACS B08201,ACS5 product-specific availability to verify,P2,requires_household_support,source_table_inventory_pending,use exact product release date,Household universe and urban context are strongly correlated
internet_access,housing,Internet and computer access,core_census_acs,block_group_or_tract_to_fixed_precinct,acs5,household counts with broadband no subscription and no computer,ACS B28002 and related B28 tables,recent ACS products only,P2,requires_household_support_or_new_tract_crosswalk,source_table_inventory_pending,use exact product release date,Insufficient history for early election cycles
health_insurance,social,Health insurance coverage,core_census_acs,block_group_to_fixed_precinct,acs5,insured and uninsured person counts by age,ACS B27001,ACS5 product-specific availability to verify,P2,reuse_person_crosswalk,source_table_inventory_pending,use exact product release date,Policy changes create structural breaks
disability,social,Disability status,core_census_acs,block_group_to_fixed_precinct,acs5,additive counts by age and disability status,ACS B18101 or collapsed C18 tables,ACS5 product-specific availability to verify,P2,reuse_person_crosswalk,source_table_inventory_pending,use exact product release date,Question and conceptual changes require vintage review
veteran_status,social,Veteran status,core_census_acs,block_group_to_fixed_precinct,acs5,veteran and nonveteran counts among civilian population 18 plus,ACS B21001,ACS5 product-specific availability to verify,P2,reuse_person_crosswalk,source_table_inventory_pending,use exact product release date,Different universe from total population
group_quarters,demographic,Group-quarters population,core_census_acs,block_or_block_group_to_fixed_precinct,decennial_or_acs5,additive counts by institutional and noninstitutional type,Decennial group-quarters tables and ACS B26001 related tables,product-specific geography restrictions to verify,P2,reuse_person_crosswalk,source_table_inventory_pending,use exact product release date,Small-area ACS group-quarters estimates can be unstable
population_density,urbanization,Population density,core_census_acs,fixed_precinct_and_senate_fragment,decennial_or_acs5,allocated population per land square kilometer and log density,Accepted total population plus EPSG 5070 land area,1990-2024 population products,P0,derived_from_accepted_population,derivation_ready,use eligible population product,Density on fixed 2021 geography is counterfactual for historical cycles
urban_rural,urbanization,Urban and rural composition,core_decennial_census,census_source_geography_to_fixed_precinct,decennial,counts and shares under explicit Census urban definition,Decennial urban and rural classification,definition-specific decennial vintages,P1,new_classification_crosswalk,source_family_verified_inventory_pending,use classification available before cutoff,Census urban definitions change and are not annual urbanization measures
residential_permits,urbanization,Residential building permits,census_bureau_supplement,county_and_permit_issuing_place,monthly_and_annual,authorized units by structure type permits per 1000 housing units and growth,Building Permits Survey,state history from 1960; detailed county/place history is source-specific,P2,county_repeat_or_municipal_crosswalk,source_family_verified_inventory_pending,use release available before cutoff and preserve reported or imputed status,Not a decennial or ACS product; substate monthly coverage changed and municipal crosswalk is unproven
