method_id,method_family,source_grain,target_grain,weight_basis,appropriate_use,status,main_risk,required_comparison
lrc_direct_v1,published_direct,census_2020_block,lrc_2021_precinct,published precinct key,First Cumberland baseline,proven_cumberland,Need to prove block field semantics completeness and split handling,Compare to spatial representative point and LRC precinct totals
representative_point_v1,spatial_assignment,census_block,precinct,whole source count assigned by deterministic representative point,Decennial block fallback and comparison,measured_philadelphia,Blocks split by precinct boundaries are forced to one target,Matched Cumberland exactly but moved 162 total absolute persons across 8 Philadelphia precincts
area_overlay_v1,spatial_allocation,any polygon,precinct,equal-area polygon intersection fraction,Geometry diagnostic and weak baseline,measured_philadelphia_diagnostic,Land area is not population distribution,Changed 12 Philadelphia precincts by 80.904 total absolute persons versus published fragment populations
lrc_published_split_v1,published_direct,census_2020_block,lrc_2021_precinct,published corrected fragment population with zero-population area fallback,Accepted 2020-to-2021 LRC baseline,proven_philadelphia,Only available where LRC publishes corrected fragments and counts,Exactly reconciled all 1703 Philadelphia precincts and 1603797 people
lrc_published_fragment_assignment_v1,published_direct,lrc_corrected_fragment,lrc_2021_precinct,published precinct key with fragment weight 1,Statewide fixed-target identity and coverage,proven_statewide,Only establishes the LRC target and does not allocate older source geographies,POC021 covers 337039 fragments and all 9178 precincts with no nearest assignments
block_relationship_area_v1,relationship_chain,census_block,census_block,official land and water intersection fraction,Inter-vintage comparability benchmark,proven_2010_topology,Official files contain area not population and chained error compounds,POC011 composes official 2010 to 2020 relationships with geometry-only atomic target area
direct_atomic_area_2010_v1,spatial_allocation,census_2010_block,fixed_precinct_and_2001_senate_fragment,normalized EPSG:5070 polygon intersection area,Independent 2010 diagnostic route,measured_statewide_diagnostic,Later target linework leaves four zero-population blocks uncovered and one 11-person representative point outside,Compare precinct and Senate totals to relationship_atomic_area_2010_v1
relationship_atomic_area_2010_v1,relationship_chain,census_2010_block,fixed_precinct_and_2001_senate_fragment,official 2010 to 2020 land-plus-water area composed with 2020 corrected-fragment atomic area,Accepted 2010 fixed-geography POC baseline,proven_statewide_area_baseline,Area is not population and composition assumes uniform distribution within related target blocks,POC011 conserves 12702379 people and compares direct area deltas under PD018
population_informed_split_v1,dasymetric_allocation,block_or_block_group,precinct,population or housing support surface,Split blocks and ACS block groups,research,Choice of support vintage can leak information or bias estimates,Compare conservation split share and precinct deltas to simple methods
fixed_precinct_senate_overlay_v1,spatial_allocation,lrc_2021_precinct,state_senate_district,equal-area polygon intersection fraction,Initial statewide overlay attempt,rejected,Numerical slivers created false splits and ambiguous gaps failed coverage QA,Replaced by fixed_precinct_senate_overlay_v2
fixed_precinct_senate_overlay_v2,spatial_allocation,lrc_2021_precinct,state_senate_district,normalized EPSG:5070 covered-area fraction,Passing prototype before artifact-column provenance completion,superseded,Source and target vintages were preserved in manifests but not repeated as artifact columns,Replaced by fixed_precinct_senate_overlay_v3
fixed_precinct_senate_overlay_v3,spatial_allocation,lrc_2021_precinct,state_senate_district,normalized EPSG:5070 covered-area fraction,Split-aware fixed-precinct fragments for each official Senate plan,proven_statewide,Area weights are geography not population and typed zero-population gaps remain unassigned,POC022 passes all five plans with dataset and vintage columns; direct source-to-Senate totals remain required under POC010
lrc_senate_block_equivalency_v1,published_direct,lrc_corrected_fragment,state_senate_district,official LRC block equivalency assignment,Independent current-plan Senate validation route,proven_statewide,Only published for the applicable LRC plan and corrected-fragment universe,POC010 covers all 337039 fragments and agrees exactly with the fixed-precinct rollup in all 50 districts
nhgis_weighted_v1,modeled_relationship,census_geography,census_geography,NHGIS versioned population household or housing weights,Historical accelerator subject to terms,research,Derived methodology and redistribution constraints,Compare to official relationship and direct geometry routes
