method_id,method_family,source_grain,target_grain,weight_basis,appropriate_use,status,main_risk,required_comparison
lrc_direct_v1,published_direct,census_2020_block,lrc_2021_precinct,published precinct key,First Cumberland baseline,proven_cumberland,Need to prove block field semantics completeness and split handling,Compare to spatial representative point and LRC precinct totals
representative_point_v1,spatial_assignment,census_block,precinct,whole source count assigned by deterministic representative point,Decennial block fallback and comparison,measured_philadelphia,Blocks split by precinct boundaries are forced to one target,Matched Cumberland exactly but moved 162 total absolute persons across 8 Philadelphia precincts
area_overlay_v1,spatial_allocation,any polygon,precinct,equal-area polygon intersection fraction,Geometry diagnostic and weak baseline,measured_philadelphia_diagnostic,Land area is not population distribution,Changed 12 Philadelphia precincts by 80.904 total absolute persons versus published fragment populations
lrc_published_split_v1,published_direct,census_2020_block,lrc_2021_precinct,published corrected fragment population with zero-population area fallback,Accepted 2020-to-2021 LRC baseline,proven_philadelphia,Only available where LRC publishes corrected fragments and counts,Exactly reconciled all 1703 Philadelphia precincts and 1603797 people
lrc_published_fragment_assignment_v1,published_direct,lrc_corrected_fragment,lrc_2021_precinct,published precinct key with fragment weight 1,Statewide fixed-target identity and coverage,proven_statewide,Only establishes the LRC target and does not allocate older source geographies,POC021 covers 337039 fragments and all 9178 precincts with no nearest assignments
block_relationship_area_v1,relationship_chain,census_block,census_block,official land and water intersection fraction,Inter-vintage comparability benchmark,proven_2000_and_2010_topology,Official files contain area not population and chained error compounds,POC011 and POC012 compose official relationships with geometry-only atomic target area
direct_atomic_area_2010_v1,spatial_allocation,census_2010_block,fixed_precinct_and_2001_senate_fragment,normalized EPSG:5070 polygon intersection area,Independent 2010 diagnostic route,measured_statewide_diagnostic,Later target linework leaves four zero-population blocks uncovered and one 11-person representative point outside,Compare precinct and Senate totals to relationship_atomic_area_2010_v1
relationship_atomic_area_2010_v1,relationship_chain,census_2010_block,fixed_precinct_and_period_senate_fragment,official 2010 to 2020 land-plus-water area composed with 2020 corrected-fragment atomic area,Accepted 2010 fixed-geography POC baseline for each period Senate plan,proven_statewide_all_period_plans,Area is not population and composition assumes uniform distribution within related target blocks,POC011 proves the baseline and POC016 conserves 12702379 people under all three candidate plans
direct_atomic_area_2000_v1,spatial_allocation,census_2000_block,fixed_precinct_and_1991_senate_fragment,normalized EPSG:5070 polygon intersection area,Independent Census 2000 diagnostic route,measured_statewide_diagnostic,131 sources have less than 99 percent direct coverage including 48 populated sources,Compare precinct and Senate totals to relationship_atomic_area_2000_v1
relationship_atomic_area_2000_v1,relationship_chain,census_2000_block,fixed_precinct_and_period_senate_fragment,official 2000 to 2010 land-plus-water area composed with 2010-block atomic area,Accepted Census 2000 fixed-geography POC baseline for each period Senate plan,proven_statewide_all_period_plans,Area is not population and three unsupported bridge components are normalized under an explicit immateriality gate,POC012 proves the baseline and POC016 conserves 12281054 people under all three candidate plans
direct_atomic_area_1990_v1,spatial_allocation,census_1990_block,fixed_precinct_and_1981_senate_fragment,normalized EPSG:5070 reconstructed-block intersection area,Independent 1990 diagnostic route,measured_statewide_diagnostic,Later target linework leaves material partial coverage including 109 populated sources below 99 percent,Compare precinct and Senate totals to relationship_tiger_face_area_1990_v1
relationship_tiger_face_area_1990_v1,relationship_chain,census_1990_block,fixed_precinct_and_period_senate_fragment,Census 2000 TIGER same-face EPSG:5070 area composed with geometry-only 2000-block atomic area,Accepted 1990 fixed-geography POC baseline for each period Senate plan,proven_statewide_all_period_plans,Area is not population and official relationship files validate pairs but provide no weights,POC013 proves the baseline and POC016 conserves 11881643 people under all four candidate plans
simple_atomic_area_acs5_2015_v1,spatial_allocation,acs5_2015_block_group,fixed_precinct_and_2012_senate_fragment,normalized EPSG:5070 block-group intersection area,Representative ACS diagnostic route,measured_statewide_diagnostic,Area poorly represents within-block-group population and derived MOEs omit covariance and weight uncertainty,Compare estimate and MOE deltas to census2010_population_atomic_acs5_2015_v1
census2010_population_atomic_acs5_2015_v1,dasymetric_allocation,acs5_2015_block_group,fixed_precinct_and_2012_senate_fragment,pre-period 2010 Census block population through official relationship and geometry-only atomic area,Accepted representative 2011-2015 ACS baseline,proven_statewide_population_informed_baseline,2010 support cannot be reused when it postdates an earlier ACS reference period; target MOEs remain approximate,POC015 conserves the 12779559 estimate and reconstructs source MOEs separately under PD021
simple_atomic_area_acs5_2009_v1,spatial_allocation,acs5_2009_block_group,fixed_precinct_and_period_senate_fragment,normalized EPSG:5070 product-vintage block-group intersection area,Accepted 2005-2009 ACS POC baseline,proven_statewide_all_period_plans,Area poorly represents within-block-group population and target MOEs omit covariance and weight uncertainty,POC016 covers 10387 block groups and conserves the 12516596 estimate under three plans
simple_atomic_area_acs5_2010_v1,spatial_allocation,acs5_2010_block_group,fixed_precinct_and_period_senate_fragment,normalized EPSG:5070 2010 block-group intersection area,Accepted 2006-2010 ACS POC baseline,proven_statewide_all_period_plans,Area poorly represents within-block-group population and target MOEs omit covariance and weight uncertainty,POC016 covers 9740 block groups and conserves the 12612705 estimate under three plans
census2010_population_atomic_acs5_2010_geography_v1,dasymetric_allocation,acs5_2010_geography_block_group,fixed_precinct_and_period_senate_fragment,pre-period 2010 Census block population through official relationship and geometry-only atomic area,Accepted shared POC support for 2011-2019 ACS products,proven_statewide_all_period_plans,2010 support becomes stale and zero-support area fallback plus target MOEs retain modeled uncertainty,POC016 covers 9740 block groups and conserves every 2011-2019 estimate under the applicable plans
census2010_population_atomic_acs5_2020_geography_v1,dasymetric_allocation,acs5_2020_geography_block_group,fixed_precinct_and_2021_senate_fragment,2010 Census block population through official 2010-to-2020 relationship and geometry-only atomic area,Accepted shared POC support for 2020-2024 ACS products,proven_statewide_current_plan,2010 support is stale and 74 zero-support groups use area fallback; target MOEs retain modeled uncertainty,POC016 covers 10173 block groups and conserves every 2020-2024 estimate under the 2021 plan
population_informed_split_v1,dasymetric_allocation,block_or_block_group,precinct,population or housing support surface,Split blocks and ACS block groups,research,Choice of support vintage can leak information or bias estimates,Compare conservation split share and precinct deltas to simple methods
fixed_precinct_senate_overlay_v1,spatial_allocation,lrc_2021_precinct,state_senate_district,equal-area polygon intersection fraction,Initial statewide overlay attempt,rejected,Numerical slivers created false splits and ambiguous gaps failed coverage QA,Replaced by fixed_precinct_senate_overlay_v2
fixed_precinct_senate_overlay_v2,spatial_allocation,lrc_2021_precinct,state_senate_district,normalized EPSG:5070 covered-area fraction,Passing prototype before artifact-column provenance completion,superseded,Source and target vintages were preserved in manifests but not repeated as artifact columns,Replaced by fixed_precinct_senate_overlay_v3
fixed_precinct_senate_overlay_v3,spatial_allocation,lrc_2021_precinct,state_senate_district,normalized EPSG:5070 covered-area fraction,Split-aware fixed-precinct fragments for each official Senate plan,proven_statewide,Area weights are geography not population and typed zero-population gaps remain unassigned,POC022 passes all five plans with dataset and vintage columns; direct source-to-Senate totals remain required under POC010
lrc_senate_block_equivalency_v1,published_direct,lrc_corrected_fragment,state_senate_district,official LRC block equivalency assignment,Independent current-plan Senate validation route,proven_statewide,Only published for the applicable LRC plan and corrected-fragment universe,POC010 covers all 337039 fragments and agrees exactly with the fixed-precinct rollup in all 50 districts
nhgis_weighted_v1,modeled_relationship,census_geography,census_geography,NHGIS versioned population household or housing weights,Historical accelerator subject to terms,research,Derived methodology and redistribution constraints,Compare to official relationship and direct geometry routes
