category,original_path,archive_path,disposition,reason
code,src/census_pa_poc/cumberland.py,archive/precinct_v1/src/census_pa_poc/cumberland.py,archived,Precinct mechanics pilot only
code,src/census_pa_poc/philadelphia.py,archive/precinct_v1/src/census_pa_poc/philadelphia.py,archived,Precinct split-block comparison only
code,src/census_pa_poc/precinct_inventory.py,archive/precinct_v1/src/census_pa_poc/precinct_inventory.py,archived,Actual-precinct inventory only
code,src/census_pa_poc/precinct_sources_2026.py,archive/precinct_v1/src/census_pa_poc/precinct_sources_2026.py,archived,Actual-2026 precinct research only
code,src/census_pa_poc/delaware_2026.py,archive/precinct_v1/src/census_pa_poc/delaware_2026.py,archived,County precinct reconstruction only
code,src/census_pa_poc/all_pairings.py,archive/precinct_v1/src/census_pa_poc/all_pairings.py,archived,Fixed-precinct execution only; direct registry replaced its constant dependency
code,src/census_pa_poc/population_availability.py,archive/precinct_v1/src/census_pa_poc/population_availability.py,archived,Precinct-era availability builder superseded by direct partition mapping
code,src/census_pa_poc/election_population_review.py,archive/precinct_v1/src/census_pa_poc/election_population_review.py,archived,Precinct/Senate display rollup only
code,src/census_pa_poc/source_reconciliation.py,archive/precinct_v1/src/census_pa_poc/source_reconciliation.py,archived,Fixed-precinct county reconciliation only
code,src/census_pa_poc/statewide_2020.py,archive/precinct_v1/src/census_pa_poc/statewide_2020.py,archived,Fixed-precinct result builder superseded by direct baseline
code,src/census_pa_poc/statewide_acs5_2015.py,archive/precinct_v1/src/census_pa_poc/statewide_acs5_2015.py,archived,Fixed-precinct ACS proof superseded by direct ACS family
code,src/census_pa_poc/visual_review.py,archive/precinct_v1/src/census_pa_poc/visual_review.py,archived,Precinct visual products only
notebook,notebooks/explore_population.py,archive/precinct_v1/notebooks/explore_population_precinct.py,replaced_and_archived,Old source preserved; active path now loads direct House/Senate products
notebook,notebooks/__marimo__/session/explore_population.py.json,archive/precinct_v1/notebooks/explore_population_precinct.session.json,replaced_and_archived,Stale precinct state is archived; marimo may regenerate direct-only session state
mappings,mappings/election_cycles.csv,archive/precinct_v1/mappings/election_cycles.csv,archived,Selected a fixed precinct target
mappings,mappings/precinct_sources_2026.csv,archive/precinct_v1/mappings/precinct_sources_2026.csv,archived,Actual-precinct research ledger
mappings,mappings/senate_plans.csv,archive/precinct_v1/mappings/senate_plans.csv,archived,Senate-only registry superseded by chamber-neutral legislative plan registry
mappings,mappings/population_election_availability_v1.csv,archive/precinct_v1/mappings/population_election_availability_v1.csv,archived,Contained fixed precinct identity
mappings,mappings/population_election_execution_v1.csv,archive/precinct_v1/mappings/population_election_execution_v1.csv,archived,Selected fixed-precinct products
mappings,mappings/feature_metric_catalog_v1.csv,archive/precinct_v1/mappings/feature_metric_catalog_v1.csv,archived,Future metrics referenced precinct crosswalks and require direct metric-specific reproving
mappings,mappings/source_catalog.csv,archive/precinct_v1/mappings/source_catalog_pre_poc030.csv,archived,Mixed pre-pivot catalog superseded by direct module manifests and legislative plan registry
docs,docs/CUMBERLAND_2020_PROOF.md,archive/precinct_v1/docs/CUMBERLAND_2020_PROOF.md,archived,Frozen accepted precinct proof
docs,docs/PHILADELPHIA_2020_PROOF.md,archive/precinct_v1/docs/PHILADELPHIA_2020_PROOF.md,archived,Frozen accepted precinct proof
docs,docs/STATEWIDE_FIXED_GEOGRAPHY_PROOF.md,archive/precinct_v1/docs/STATEWIDE_FIXED_GEOGRAPHY_PROOF.md,archived,Frozen accepted precinct proof
docs,docs/STATE_SENATE_OVERLAY_PROOF.md,archive/precinct_v1/docs/STATE_SENATE_OVERLAY_PROOF.md,archived,Frozen accepted precinct-derived proof
docs,docs/STATEWIDE_2020_RESULT.md,archive/precinct_v1/docs/STATEWIDE_2020_RESULT.md,archived,Frozen accepted precinct result
docs,docs/STATEWIDE_2010_RESULT.md,archive/precinct_v1/docs/STATEWIDE_2010_RESULT.md,archived,Frozen accepted precinct result
docs,docs/STATEWIDE_2000_RESULT.md,archive/precinct_v1/docs/STATEWIDE_2000_RESULT.md,archived,Frozen accepted precinct result
docs,docs/STATEWIDE_1990_RESULT.md,archive/precinct_v1/docs/STATEWIDE_1990_RESULT.md,archived,Frozen accepted precinct result
docs,docs/ACS5_2015_METHOD_RESULT.md,archive/precinct_v1/docs/ACS5_2015_METHOD_RESULT.md,archived,Frozen accepted precinct result
docs,docs/ALL_PAIRINGS_RESULT.md,archive/precinct_v1/docs/ALL_PAIRINGS_RESULT.md,archived,Frozen fixed-precinct execution result
docs,docs/POPULATION_AVAILABILITY_RESULT.md,archive/precinct_v1/docs/POPULATION_AVAILABILITY_RESULT.md,archived,Frozen precinct-era availability result
docs,docs/ELECTION_POPULATION_REVIEW.md,archive/precinct_v1/docs/ELECTION_POPULATION_REVIEW.md,archived,Frozen precinct display result
docs,docs/VISUAL_REVIEW.md,archive/precinct_v1/docs/VISUAL_REVIEW.md,archived,Frozen precinct visual result
docs,docs/TRUSTED_TOTAL_RECONCILIATION.md,archive/precinct_v1/docs/TRUSTED_TOTAL_RECONCILIATION.md,archived,Frozen precinct reconciliation result
docs,docs/CENSUS_FEATURE_METRIC_CATALOG.md,archive/precinct_v1/docs/CENSUS_FEATURE_METRIC_CATALOG.md,archived,Metric plan referenced precinct crosswalks
generated_data,data/processed/cumberland,archive/precinct_v1/data/processed/cumberland,archived,Ignored precinct pilot data
generated_data,data/processed/philadelphia,archive/precinct_v1/data/processed/philadelphia,archived,Ignored precinct pilot data
generated_data,data/processed/poc008,archive/precinct_v1/data/processed/poc008,archived,Ignored actual-precinct research data
generated_data,data/processed/poc016,archive/precinct_v1/data/processed/poc016,archived,Ignored fixed-precinct product family
generated_data,data/processed/poc024,archive/precinct_v1/data/processed/poc024,archived,Ignored precinct display data
generated_data,data/processed/poc027,archive/precinct_v1/data/processed/poc027,archived,Ignored precinct reconciliation data
generated_data,data/processed/senate_overlays,archive/precinct_v1/data/processed/senate_overlays,archived,Ignored precinct-derived Senate overlays
generated_data,data/processed/statewide_1990,archive/precinct_v1/data/processed/statewide_1990,archived,Ignored precinct result; parsing code retained
generated_data,data/processed/statewide_2000,archive/precinct_v1/data/processed/statewide_2000,archived,Ignored precinct result; parsing code retained
generated_data,data/processed/statewide_2010,archive/precinct_v1/data/processed/statewide_2010,archived,Ignored precinct result; parsing code retained
generated_data,data/processed/statewide_2020,archive/precinct_v1/data/processed/statewide_2020,archived,Ignored precinct result
generated_data,data/processed/statewide_acs5_2015,archive/precinct_v1/data/processed/statewide_acs5_2015,archived,Ignored precinct result
generated_data,data/processed/statewide_fixed_geography,archive/precinct_v1/data/processed/statewide_fixed_geography,archived,Ignored fixed-precinct crosswalks
generated_data,data/processed/direct_legislative/poc029/acs_crosswalks/*__v1.parquet,archive/precinct_v1/data/processed/direct_legislative/acs_crosswalks_v1,archived_group,Failed pre-acceptance ACS versions; accepted direct crosswalks are v2
proof_artifacts,artifacts/poc001_poc005,archive/precinct_v1/artifacts/poc001_poc005,archived,Frozen precinct proof evidence
proof_artifacts,artifacts/poc006_poc007,archive/precinct_v1/artifacts/poc006_poc007,archived,Frozen precinct proof evidence
proof_artifacts,artifacts/poc008,archive/precinct_v1/artifacts/poc008,archived,Frozen actual-precinct research evidence
proof_artifacts,artifacts/poc010,archive/precinct_v1/artifacts/poc010,archived,Frozen fixed-precinct result evidence
proof_artifacts,artifacts/poc015,archive/precinct_v1/artifacts/poc015,archived,Frozen fixed-precinct ACS evidence
proof_artifacts,artifacts/poc016,archive/precinct_v1/artifacts/poc016,archived,Frozen fixed-precinct family evidence
proof_artifacts,artifacts/poc019,archive/precinct_v1/artifacts/poc019,archived,Frozen precinct-era availability evidence
proof_artifacts,artifacts/poc021,archive/precinct_v1/artifacts/poc021,archived,Frozen fixed-target evidence
proof_artifacts,artifacts/poc022,archive/precinct_v1/artifacts/poc022,archived,Frozen precinct-derived Senate evidence
proof_artifacts,artifacts/poc023,archive/precinct_v1/artifacts/poc023,archived,Frozen precinct visual evidence
proof_artifacts,artifacts/poc024,archive/precinct_v1/artifacts/poc024,archived,Frozen precinct display evidence
proof_artifacts,artifacts/poc027,archive/precinct_v1/artifacts/poc027,archived,Frozen precinct reconciliation evidence
shared_code,src/census_pa_poc/fixed_geography.py,,retained_shared,Direct 2020 and historical paths use its checksum-frozen LRC block loader
shared_code,src/census_pa_poc/senate_plans.py,,retained_shared,Historical parser modules import its plan constants
shared_code,src/census_pa_poc/senate_overlay.py,,retained_shared,Historical parser modules import its deterministic geospatial hash helper
shared_code,src/census_pa_poc/statewide_1990.py,,retained_shared,Direct historical code reuses Census source parsers and relationship builders
shared_code,src/census_pa_poc/statewide_2000.py,,retained_shared,Direct historical code reuses Census source parsers and relationship builders
shared_code,src/census_pa_poc/statewide_2010.py,,retained_shared,Direct decennial and ACS code reuse Census source parsers and relationship builders
shared_evidence,artifacts/poc011,,retained_shared,Direct 2010 provenance manifest
shared_evidence,artifacts/poc012,,retained_shared,Direct Census 2000 provenance manifest
shared_evidence,artifacts/poc013,,retained_shared,Direct 1990 provenance manifest
shared_evidence,artifacts/poc014,,retained_shared,Direct ACS inventory evidence
shared_data,data/raw,,retained_shared,Checksum-frozen source inputs used by direct and archived proofs
direct_active,data/processed/direct_legislative,,retained_direct,Accepted POC028 and POC029 plans crosswalks and results
direct_active,artifacts/poc028,,retained_direct,Accepted direct baseline evidence
direct_active,artifacts/poc029,,retained_direct,Accepted direct historical evidence
